pitch_pk,pitcher,player_name,pitch_type,pitch_name,game_year,description,game_date,inning,inning_topbot,outs_when_up,balls,strikes,release_speed,release_spin_rate,release_pos_x,release_pos_z,release_extension,pfx_x,pfx_z,ivb,hb,ivb_abs,hb_abs,spin,expected_movement,movement_total,movement_over_expected,movement_gap,movement_sep,movement_angle,is_good_outcome,nastiness_raw,Nastiness_plus
687931_776802_17_1,687931,"Whisenhunt, Carson",SL,Slider,2025,swinging_strike,2025-08-09 00:00:00,3,Top,0,0,0,84.1,2431,2.1,6.33,6.5,-0.05,-0.05,-0.6000000000000001,-0.6000000000000001,0.6000000000000001,0.6000000000000001,2431,1.2155,0.8485281374238571,-0.3669718625761429,0.3669718625761429,0.0,-135.0,1,5.624865450685813,134.45684136706947
680729_778417_57_1,680729,"McDaniels, Garrett",SL,Slider,2025,swinging_strike,2025-04-08 00:00:00,7,Bot,2,0,0,86.0,2525,1.91,6.13,5.6,-0.08,-0.05,-0.6000000000000001,-0.96,0.6000000000000001,0.96,2525,1.2625,1.1320777358467924,-0.13042226415320757,0.13042226415320757,0.43199999999999983,-147.9946167919165,1,5.6247425617745925,134.45554663939
571578_778213_16_3,571578,"Corbin, Patrick",SL,Slider,2025,swinging_strike,2025-04-22 00:00:00,2,Bot,0,0,2,81.9,2254,2.42,6.23,6.8,-0.08,-0.05,-0.6000000000000001,-0.96,0.6000000000000001,0.96,2254,1.127,1.1320777358467924,0.005077735846792386,0.005077735846792386,0.43199999999999983,-147.9946167919165,1,5.623865117230849,134.44630209708995
518397_777976_61_2,518397,"Alexander, Scott",SL,Slider,2025,swinging_strike,2025-05-10 00:00:00,6,Top,1,0,1,85.5,2491,1.38,5.57,6.2,-0.09,-0.05,-0.6000000000000001,-1.08,0.6000000000000001,1.08,2491,1.2455,1.2354756169184402,-0.01002438308155984,0.01002438308155984,0.576,-150.94539590092285,1,5.619070519511223,134.3957873816622
820862_776376_46_1,820862,"Fermin, José",SL,Slider,2025,called_strike,2025-09-10 00:00:00,6,Top,1,0,0,92.0,2639,-1.72,6.24,5.6,-0.12,-0.03,-0.36,-1.44,0.36,1.44,2639,1.3195000000000001,1.4843180252223578,0.16481802522235767,0.16481802522235767,1.296,-165.96375653207352,1,5.618821193899683,134.39316054766022
682254_776949_40_4,682254,"Montgomery, Mason",SL,Slider,2025,swinging_strike,2025-07-29 00:00:00,4,Bot,2,1,2,89.5,2629,1.4,5.84,6.7,-0.12,-0.03,-0.36,-1.44,0.36,1.44,2629,1.3145,1.4843180252223578,0.16981802522235778,0.16981802522235778,1.296,-165.96375653207352,1,5.617960739793026,134.38409501247287
645261_778562_8_1,645261,"Alcantara, Sandy",SI,Sinker,2025,called_strike,2025-03-27 00:00:00,2,Top,1,0,0,98.4,2406,-1.9,5.85,5.9,-2.19,0.49,5.88,-26.28,5.88,26.28,2406,1.203,26.929775342546026,25.726775342546027,25.726775342546027,24.48,167.38811485340094,1,5.616432137300375,134.3679900283983
693313_777058_80_3,693313,"Seymour, Carson",SL,Slider,2025,swinging_strike_blocked,2025-07-22 00:00:00,9,Bot,2,0,2,87.3,1809,-1.81,6.02,6.8,-0.11,-0.02,-0.24,-1.32,0.24,1.32,1809,0.9045,1.3416407864998738,0.43714078649987387,0.43714078649987387,1.296,-169.69515353123398,1,5.615463939821495,134.35778933524668
687931_776557_3_1,687931,"Whisenhunt, Carson",SL,Slider,2025,called_strike,2025-08-27 00:00:00,1,Top,1,0,0,84.0,2587,2.09,6.24,6.6,-0.13,-0.02,-0.24,-1.56,0.24,1.56,2587,1.2935,1.5783535725559086,0.2848535725559085,0.2848535725559085,1.584,-171.2538377374448,1,5.611852232128277,134.31973726143363
664294_776844_41_2,664294,"Moreta, Dauri",SL,Slider,2025,called_strike,2025-08-06 00:00:00,6,Top,0,1,0,82.6,1918,-1.06,6.02,6.3,-0.09,-0.04,-0.48,-1.08,0.48,1.08,1918,0.9590000000000001,1.1818629362155326,0.22286293621553255,0.22286293621553255,0.7200000000000001,-156.03751102542185,1,5.611480569385864,134.3158215131757
